StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q66,Gender,Gender_3_TEXT,Age,Education_level (5),HHIncome(free entry),Q8,Q7,Q61,Q10,Q62,Q34,Q36,Q38,Q40,Q42,Q44,Q46,Q48,Q42,Q44,Q63,Q46,Q48,Q50,Q52,Q48,Q50,Q52,Q54,Q56,Q58,Q60,Q62,Q64,Q66,Q68,Q70,Q72,Q74,Q65,Q65_7_TEXT,Q64,mTurkCode
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent_yesno,gender - Selected Choice,gender - Other: - Text,age,education_level,income,imp_relative_num,imp_friends_num,issues_not_eligible,Bonus_eligible_interested,issues_not_interested,rel_1_mon,rel_1_time,rel_2_mon,rel_2_time,rel_5_mon,rel_5_time,rel_10_mon,rel_10_time,rel_20_mon,rel_20_time,attn_chk_20,rel_50_mon,rel_50_time,rel_100_mon,rel_100_time,nonrel_1_mon,nonrel_1_time,nonrel_2_mon,nonrel_2_time,nonrel_5_mon,nonrel_5_time,nonrel_10_mon,nonrel_10_time,nonrel_20_mon,nonrel_20_time,nonrel_50_mon,nonrel_50_time,nonrel_100_mon,nonrel_100_time,race - Selected Choice,race - Other: - Text,issues_participant,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID66""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_7_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""mTurkCode""}"
12/2/2017 15:29,12/2/2017 15:30,IP Address,100,47,TRUE,12/2/2017 15:30,R_2tui6JcJOdfBZjq,,,,,40.29229736,-78.98339844,anonymous,EN,Yes,Male,,43,High school,16500,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122529
12/2/2017 15:29,12/2/2017 15:30,IP Address,100,60,TRUE,12/2/2017 15:30,R_TixyU9vUWFfKmpr,,,,,34.18730164,-80.70639801,anonymous,EN,Yes,Other:,Agender,20,Primary school or lower,22000,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102271
12/2/2017 15:31,12/2/2017 15:33,IP Address,100,91,TRUE,12/2/2017 15:33,R_1JRyiNzlx8uXWTo,,,,,38.13479614,-122.5610046,anonymous,EN,Yes,Male,,53,Undergraduate (College or equivalent),100000,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344868
12/2/2017 15:38,12/2/2017 15:39,IP Address,100,58,TRUE,12/2/2017 15:39,R_1kGgTm8J1k5wbgz,,,,,40.75059509,-73.82039642,anonymous,EN,Yes,Female,,41,Undergraduate (College or equivalent),66000,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172887
12/2/2017 15:29,12/2/2017 15:44,IP Address,100,880,TRUE,12/2/2017 15:44,R_2vj3eeiayeqH5KZ,,,,,32.79640198,-117.0690002,anonymous,EN,Yes,Male,,64,High school,119000,40,25,,Yes,,10000,40,10000,40,5000,30,5000,30,3000,15,20,1000,5,1000,5,5000,20,5000,20,2000,10,1000,5,1000,5,500,3,500,2,European-American (White),,no issues,708823
12/2/2017 18:01,12/2/2017 18:02,IP Address,100,35,TRUE,12/2/2017 18:02,R_1KvWEDrvxbe6at5,,,,,39.89390564,-76.55799866,anonymous,EN,Yes,Male,,25,High school,50000,4,4,None. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210775
12/3/2017 11:23,12/3/2017 11:24,IP Address,100,25,TRUE,12/3/2017 11:24,R_26kUbEH3aZ5kqqA,,,,,34.1006012,-118.3274994,anonymous,EN,Yes,Male,,24,Undergraduate (College or equivalent),20000,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407271
12/3/2017 11:24,12/3/2017 11:24,IP Address,100,30,TRUE,12/3/2017 11:24,R_33dnTYeWwYdOYu5,,,,,38.11289978,-122.1331024,anonymous,EN,Yes,Female,,34,Undergraduate (College or equivalent),50000,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401187
12/3/2017 11:24,12/3/2017 11:25,IP Address,100,58,TRUE,12/3/2017 11:25,R_AHXukNgZe9t6EpP,,,,,36.09710693,-95.96269989,anonymous,EN,Yes,Female,,31,Graduate school or higher,28000,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179974
12/3/2017 11:24,12/3/2017 11:26,IP Address,100,155,TRUE,12/3/2017 11:26,R_1eUHOW4WbhEvKlZ,,,,,36.46170044,-80.61910248,anonymous,EN,Yes,Female,,37,Undergraduate (College or equivalent),22000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246556
12/3/2017 11:29,12/3/2017 11:30,IP Address,100,57,TRUE,12/3/2017 11:30,R_1X5PFDLa5CNCJhL,,,,,28.55349731,-81.30039978,anonymous,EN,Yes,Male,,26,High school,15000,5,2,None.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375339
12/3/2017 11:29,12/3/2017 11:30,IP Address,100,60,TRUE,12/3/2017 11:30,R_6tkvfGk4ubNLY2Z,,,,,33.59820557,-81.67120361,anonymous,EN,Yes,Male,,25,High school,20000,3,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291165
